flight_id,real_waypoints,pass_times,speeds,alts,real_full_waypoints,full_pass_times,full_speeds,full_alts
02007DRAM716X,TOLSI KORIS TLD POPUL OGLOT BAKUL,1680365060 1680365639 1680367859 1680370079 1680372119 1680372299,0.2486 0.2229 0.2142 0.2062 0.0929 0.0000,8755 11377 11179 10287 1265 960,TOLSI _ON6OAShI _T3yWYbnR _IXf5plgY KORIS TLD _La3gshws POPUL _SdA8Fx4X OGLOT _5TYUi3mK BAKUL,1680365060 1680365039 1680365099 1680365459 1680365639 1680367859 1680369119 1680370079 1680371399 1680372119 1680372299 1680372299,0.2486 0.2486 0.2394 0.2302 0.2229 0.2142 0.1545 0.2062 0.2134 0.0929 0.0000 0.0000,8755 8755 9220 11331 11377 11179 10394 10287 7422 1265 960 960
02007DRAM717X,NTS ERIGA BABEX_25 AMSEL MARJA MARJA_82,1680377706 1680378059 1680381179 1680383399 1680383939 1680383939,0.1180 0.2175 0.2605 0.2522 0.0000 0.0000,1661 6066 9738 9868 9403 9403,NTS _cu2GmhXN _ubmrrvup ERIGA _JaBav3rM _5MGQSwz8 BABEX_25 AMSEL MARJA MARJA_82,1680377706 1680377699 1680377759 1680378059 1680380759 1680381059 1680381179 1680383399 1680383939 1680383939,0.1180 0.1180 0.1369 0.2175 0.4200 0.2444 0.2605 0.2522 0.0000 0.0000,1661 1661 2042 6066 10302 9723 9738 9868 9403 9403
02008BRAM970H,TOLSI KORIS PARKA_05 SOTUK PDT LEMD,1680364627 1680365279 1680367019 1680367199 1680368219 1680368879,0.2081 0.2132 0.2225 0.1790 0.1170 0.0000,10660 11971 10264 8275 1615 640,TOLSI _jtX5hGwS _76amS3U4 KORIS PARKA_05 SOTUK _G874Zqkr PDT _oNS306a8 LEMD,1680364627 1680364619 1680364679 1680365279 1680367019 1680367199 1680367979 1680368219 1680368639 1680368879,0.2081 0.2081 0.2321 0.2132 0.2225 0.1790 0.1406 0.1170 0.0913 0.0000,10660 10660 11095 11971 10264 8275 2499 1615 1288 640
02008BRAM971H,LEMD SOTUK_10 GALTO TUSOR VARAS,1680374308 1680375419 1680376979 1680377759 1680377759,0.0894 0.2417 0.2355 0.0000 0.0000,1212 10325 11674 10676 10676,LEMD _Ukng4G7s _tEBkCq0B _a3R9w9Im _fUSVICNh _vFcmaNTd _aiszNnjn SOTUK_10 GALTO TUSOR VARAS,1680374308 1680374339 1680374399 1680374579 1680374699 1680374939 1680375119 1680375419 1680376979 1680377759 1680377759,0.0894 0.0894 0.1042 0.1728 0.2044 0.2319 0.2230 0.2417 0.2355 0.0000 0.0000,1212 1212 1890 4359 5464 7704 9296 10325 11674 10676 10676
020092RAM272,AGDAL BARPA RESTU BRUNO LEPA LOPKO OLLEK AMAXI_85,1680389370 1680390359 1680392219 1680392999 1680393899 1680397139 1680398159 1680401939,0.2172 0.2317 0.2500 0.2424 0.2683 0.2699 0.2611 0.0000,6706 10752 10615 10485 10973 11293 11361 11430,AGDAL _Cxnd8dIM _wd8cLw4d BARPA RESTU BRUNO _4WpTMORB _O25sG25n LEPA LOPKO OLLEK _H6MFeWJ0 AMAXI_85,1680389370 1680389399 1680389459 1680390359 1680392219 1680392999 1680393359 1680393479 1680393899 1680397139 1680398159 1680401939 1680401939,0.2172 0.2172 0.2235 0.2317 0.2500 0.2424 0.2413 0.2566 0.2683 0.2699 0.2611 0.0000 0.0000,6706 6706 7262 10752 10615 10485 11026 11003 10973 11293 11361 11430 11430
020092RAM788H,KORNO_14 ABIRO TLD DGO LFCH PEPAX TABOV LFPX DUCRA,1680354089 1680354599 1680356879 1680358319 1680359459 1680360779 1680361859 1680362099 1680363179,0.2302 0.2239 0.2092 0.2209 0.2316 0.2174 0.1756 0.1786 0.0000,10897 11377 11179 11003 10859 9068 4503 4000 328,KORNO_14 _GBTbEGP0 _7XwyRywF ABIRO TLD DGO LFCH PEPAX _FWlZN2oc _eFGsHKUL _20TctWNq _5TbQ8p0t TABOV LFPX _SYJZlHc7 _nE760JZM _o9wrtaYT _DJMofhfF DUCRA,1680354089 1680354239 1680354299 1680354599 1680356879 1680358319 1680359459 1680360779 1680360899 1680361139 1680361379 1680361559 1680361859 1680362099 1680362579 1680362699 1680362819 1680363179 1680363179,0.2302 0.2302 0.2260 0.2239 0.2092 0.2209 0.2316 0.2174 0.2174 0.1987 0.1811 0.1803 0.1756 0.1786 0.1369 0.1046 0.1065 0.0000 0.0000,10897 10897 11179 11377 11179 11003 10859 9068 8946 7437 5906 5105 4503 4000 1882 1448 1257 328 328
020092RAM789H,DUCRA LFPG LFPB LFPI RAZQI GARVU_55 MGA VARAS,1680368376 1680368399 1680368459 1680368639 1680370079 1680372239 1680374879 1680376379,0.0830 0.0830 0.1173 0.1757 0.2392 0.2408 0.2237 0.0000,480 480 1273 3421 11118 11308 11636 10119,DUCRA LFPG LFPB LFPI RAZQI GARVU_55 MGA _DvccQ5V3 VARAS,1680368376 1680368399 1680368459 1680368639 1680370079 1680372239 1680374879 1680376379 1680376379,0.0830 0.0830 0.1173 0.1757 0.2392 0.2408 0.2237 0.0000 0.0000,480 480 1273 3421 11118 11308 11636 10119 10119
020095RAM228,AGDAL BARPA RESTU EDULI_64 MORSS_78 LOPKO OLLEK MAROS_75 BGN,1680388874 1680389999 1680391799 1680393239 1680394019 1680396719 1680397739 1680403499 1680405899,0.2081 0.2304 0.2488 0.2585 0.2647 0.2637 0.2574 0.2455 0.0000,7186 11361 11232 11019 10927 11308 11369 11422 190,AGDAL _4X8ZbNxO BARPA RESTU _Jr9XDMNk EDULI_64 MORSS_78 _dtb70QWo LOPKO OLLEK _AqUjRejY MAROS_75 _QDyTTJRj _dzL9Q9OM BGN,1680388874 1680388919 1680389999 1680391799 1680392819 1680393239 1680394019 1680394319 1680396719 1680397739 1680400319 1680403499 1680404939 1680405419 1680405899,0.2081 0.2081 0.2304 0.2488 0.2467 0.2585 0.2647 0.2644 0.2637 0.2574 0.2610 0.2455 0.1486 0.1323 0.0000,7186 7186 11361 11232 11079 11019 10927 10919 11308 11369 11400 11422 5616 2057 190
020095RAM960U,AGDAL BARPA PIMOS BEGOX MATEX_64 SENIA_48 LEBL,1680363201 1680364319 1680364679 1680366719 1680367379 1680367559 1680369059,0.2285 0.2363 0.2315 0.2322 0.2081 0.2390 0.0000,7932 11963 11948 11742 10226 8313 53,AGDAL _pljCtRNU BARPA PIMOS BEGOX MATEX_64 SENIA_48 _q6wUuBvI _68hht6ui _ncX4JJVs _Vjb5tYZV _dmPgUZdn LEBL,1680363201 1680363239 1680364319 1680364679 1680366719 1680367379 1680367559 1680368279 1680368399 1680368699 1680368819 1680368939 1680369059,0.2285 0.2285 0.2363 0.2315 0.2322 0.2081 0.2390 0.1480 0.1324 0.0951 0.0791 0.0701 0.0000,7932 7932 11963 11948 11742 10226 8313 3033 2400 907 770 427 53
020095RAM961U,LEBL BCN_84 EBROX_48 MGA TUSOR,1680374345 1680374399 1680375059 1680378059 1680379319,0.1161 0.1268 0.1974 0.2262 0.0000,1151 1661 9106 11026 10973,LEBL _1QlPOYw6 BCN_84 EBROX_48 MGA TUSOR,1680374345 1680374339 1680374399 1680375059 1680378059 1680379319,0.1161 0.1161 0.1268 0.1974 0.2262 0.0000,1151 1151 1661 9106 11026 10973
