od_pair,count
EDDS-LOWW,938
LEBL-EGCC,938
LHBP-EDDF,936
EPWA-LKPR,935
LOWW-LLBG,934
EYVI-EPWA,933
EHAM-LHBP,932
LHBP-EHAM,932
EHAM-ESGG,930
EDDF-LHBP,927
LSZH-EPWA,926
EDDL-EDDF,926
LKPR-EGLL,925
EDDH-LFPG,924
LKPR-EPWA,924
EDDV-EDDF,924
ESSA-LEMG,923
LIRF-LLBG,923
EBBR-LEMG,922
ENCN-ENBR,921
LEPA-EHAM,921
LEBL-EDDB,920
LOWW-ESSA,920
EDDB-EBBR,919
LHBP-EPWA,919
EDDF-LKPR,919
EHAM-EKBI,918
LIPZ-LEBL,918
EHAM-LEIB,916
LFPG-EDDH,916
EDDB-LEBL,915
EDDK-LTFJ,915
EDDF-ENGM,915
LIMC-LGAV,913
EDDN-LEPA,913
EPWA-LSZH,912
EGPH-EHAM,911
EKBI-EHAM,911
EHAM-LTFJ,909
EPWA-EYVI,909
EDDF-EDDV,909
LKPR-EDDF,908
EGKK-EGAA,908
EPWA-LHBP,907
LIPZ-LEMD,907
LTFJ-EHAM,906
ELLX-LPPR,905
ENZV-EHAM,903
EDDF-EDDW,902
EBBR-EDDM,902
LPFR-EGSS,901
LIMC-EGKK,901
LTFM-EHAM,900
EDDC-EDDF,900
EDDF-LFSB,900
EGBB-LEPA,900
EKCH-EGCC,899
EHAM-LIPZ,899
EDDF-EDDC,899
EGPH-EGAA,899
EIDW-LEMD,899
LEBL-LIPZ,899
LFPO-LEPA,899
LFPG-LROP,897
EGLL-LKPR,896
ESSA-LOWW,894
EDDW-EDDF,894
LROP-LFPG,894
EGLL-EDDS,893
ENGM-EDDF,892
EBBR-EIDW,889
EHAM-EBBR,889
EGCC-EKCH,889
EGGD-LEAL,886
LIPZ-EHAM,886
ENGM-EFHK,882
LPPR-ELLX,881
LFRS-LFPG,881
LEPA-EGBB,880
EGLL-EGJJ,877
LSGG-EDDM,876
EGLL-EGNT,875
EGNT-EGLL,874
LEAL-EGGD,874
EHAM-EGPD,873
EDDF-ESGG,872
EKCH-ENZV,872
EGLC-LSZH,872
LPPR-LSZH,870
LEPA-EGGW,869
EHAM-EGPF,868
EGGD-EGPH,868
EGJJ-EGLL,868
EKCH-LIMC,867
EDDS-EDDF,866
EDDF-ELLX,866
LFPO-LEMG,866
ELLX-EDDF,866
LEAL-LEBL,864
EGPD-EHAM,864
LEBL-LEAL,864
EDDF-EDDN,864
EDDN-EDDF,863
EDDM-LSGG,861
LFPO-LIML,860
LEAL-EBBR,860
EGKK-EGPF,859
EDDF-EPKK,858
LFPG-EDDV,856
EGGW-LEPA,853
EFHK-EGLL,853
LEPA-LFPO,852
EBBR-EDDP,851
EHAM-LGAV,851
EKCH-EDDL,851
EIDW-EGLC,850
LEAL-EGSS,850
EGJB-EGKK,849
EKCH-EGKK,849
EGSS-LPFR,849
LEBL-EGSS,849
EGPH-EGLC,848
LSZH-LPPR,848
LFBD-LFLL,846
LEMD-EIDW,846
LIML-LFPO,846
EDDB-LTFM,845
EGKK-EGJJ,845
LIMC-EGLL,845
ESGG-EDDF,845
EPKK-EDDF,844
EKCH-LEPA,844
LOWW-LEMD,844
EDDL-EKCH,842
LEMD-LIPZ,841
LIMC-EKCH,840
LGAV-LLBG,840
LGAV-LGRP,839
LIML-LIBD,838
LEPA-EKCH,838
EPWR-EPWA,836
EETN-ESSA,836
LHBP-EGSS,835
EGKK-LFPG,834
LLBG-LHBP,833
EGPF-EHAM,833
ESSA-EETN,831
EGSS-LIRA,831
EDDF-EDDS,831
LFML-LFPO,830
LEBL-LIPE,829
EGSS-LEBL,828
EGCC-EGAC,827
EDDL-LEBL,826
EGKK-LEIB,826
EBBR-LEAL,826
LLBG-LROP,824
LPPT-LPFR,824
EDDS-EDDM,824
LTFM-LIMC,823
EFHK-EDDB,823
LSZH-LIMC,822
EGLL-EFHK,821
ENBR-ENFL,820
LEMD-EGKK,819
EGAA-EGPF,819
LPFR-LPPT,819
ELLX-EDDM,818
EDDF-LROP,818
EGSS-LEAL,818
LROP-EDDF,817
